category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,1,18,FUSION ECT,2854,ffffff,000000,ffffff,Birk Hansen &#128304;,dk,550613,gold
A,1,18,KCRT,4040,f5f5f5,0d0101,eb0c0c,Lewis Wake,gb,900521,gold
A,1,15,Race3R,791,000000,2bc3f4,ffffff,Roman T &#10026;,de,21486,silver
A,1,15,BRT,4,ffffff,050505,ff8100,Jamie.Smith[A] [BRT],gb,401751,silver
A,1,13,,0,00dd00,,,Francois Gobeil,ca,401831,bronze
A,1,13,,0,00dd00,,,Cristian Badea,ro,78323,bronze
A,1,11,,0,00dd00,,,Alex Ballinger4375,gb,1075495,
A,1,11,,0,00dd00,,,S Adyns (TNT),be,1119105,
A,1,10,CyclingHub,2635,f65000,00364a,ffffff,Guus Bouman&#129414;,nl,408391,gold
A,1,9,,0,00dd00,,,William Berry 2652,us,1175117,
A,1,9,,0,00dd00,,,Piotr Derda,pl,549777,
A,1,7,TeamNL,2281,ffffff,ffa500,ffa500,Bas Pater,nl,859868,silver
A,1,7,,0,00dd00,,,Alex Clark,gg,295861,
A,1,7,,0,00dd00,,,Mark Robb,,166087,
A,1,5,BRT,4,ffffff,050505,ff8100,Martin Lightwood &#128074;&#127996; [BRT],gb,401047,bronze
B,2,37,IRL,3369,ffffff,32968e,e66f1a,Alan Campbell,gb-nir,210541,gold
B,2,32,MDCC,843,ffffff,0073b7,ffffff,Richard da Silva,gb,121927,silver
B,1,21,CBCB Hire,3331,ffffff,ff2323,000000,Mark T (CBCB Hire),gb,760336,bronze
B,1,19,BZR cycling team,35,f3f300,111111,dd4b39,Sven De Schryver,be,177491,
B,1,18,IBD Cycling,407,ffffff,0073b7,ffffff,Kimmo Kananen,fi,182287,gold
B,1,17,BRT,4,ffffff,050505,ff8100,Peter Campbell,gb-eng,40108,
B,1,15,teamWKG,1330,fa5e06,3f4c54,3f4c54,Jamie Woodward,gb,685302,
B,1,15,Vikings,90,c2c2c2,0073b7,ee6331,Brage Bergeng [V]&#128034;,no,429749,silver
B,1,13,Radsport K&ouml;nig,3482,ffffff,0073b7,ffffff,Ren&eacute; K&ouml;nig,de,908786,
B,1,13,,0,00dd00,,,Gilberto Rodriguez,es,329002,bronze
B,1,11,,0,00dd00,,,Sasa Bracko,hr,986047,
B,1,10,,0,00dd00,,,Christian Vejlbo,dk,98969,gold
B,1,9,,0,00dd00,,,Pak Ho,hk,776250,
B,1,7,,0,00dd00,,,Ian Jervis5254,gb,980837,
B,1,7,BRT,4,ffffff,050505,ff8100,Francois Vuadens,ch,19220,
B,1,7,VS CYCLES,783,ffffff,0073b7,ffffff,Paul Waddington,gb,247818,silver
B,1,5,,0,00dd00,,,Richard Williams,gb-eng,485358,
B,1,5,,0,00dd00,,,mark francis,gb,120966,
B,1,5,BRT,4,ffffff,050505,ff8100,Michael Durr [BRT],gb,74813,bronze
B,1,4,TeamNL,2281,ffffff,ffa500,ffa500,Onno F,nl,828907,
B,1,3,VC10,2888,ffffff,ff0000,ffffff,Debbie Honour,gb,404324,
B,1,3,,0,00dd00,,,Delian Simov3723,us,555226,
B,1,2,,0,00dd00,,,Nick Morgan,gb,166857,
