category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,5,335,#EFDV,3094,4d4149,ff68c6,060004,Nanou G,be,916752,bronze,1
A,4,328,CANYON,2144,ffffff,ff005d,ff005d,Kristin Falck (Canyon),no,56138,gold gold gold gold,0
A,4,328,HEINO RT,4397,ffffff,ff0000,ff3b3b,Maria Hoiriis,dk,640583,gold gold gold gold,0
A,4,313,Team AHDR,629,fc6955,55d4fc,ffffff,Fran Bambust,be,427114,gold silver bronze,0
A,4,310,BRT,4,ffffff,050505,ff8100,Jessica Hamilton,nz,653395,silver silver silver,0
A,4,260,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Angela MacRae Cryo-Gen,au,1332978,silver,1
A,5,259,Team AHDR,629,fc6955,55d4fc,ffffff,Kelly Murphy,au,414760,gold gold,1
A,3,241,BRT,4,ffffff,050505,ff8100,Vicky Nealon (The BRaT pack),gb,1019855,gold gold bronze,0
A,3,240,Race3R,791,000000,2bc3f4,ffffff,Charlotte Watts [R3R],gb,617677,gold silver silver,0
A,2,156,TURBO,3973,fc671a,000000,000000,Line Heerup Madsen (Turbo),dk,927830,silver bronze,0
A,1,82,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Diana Wilson &#129418;,ca,934846,gold,0
A,1,82,TWonZwift,3512,ffffff,0073b7,ffffff,Rebecca Larson,us,264660,gold,0
A,1,79,[DRAFT],1634,ffffff,e60d2e,000000,Adele B-S,ca,1309810,silver,0
A,1,79,,0,00dd00,,,Debbie Greig,gb,387466,silver,0
A,1,79,HEINO RT,4397,ffffff,ff0000,ff3b3b,Louise Houbak,dk,625825,silver,0
A,1,77,,0,00dd00,,,chigusa endo(team fins),jp,1188023,bronze,0
A,1,77,HEINO RT,4397,ffffff,ff0000,ff3b3b,Vicki Whitelaw,au,372588,bronze,0
A,1,75,Team Fearless,1677,001f3f,39cccc,01ff70,Lea Milleu,no,470626,,0
A,1,75,,0,00dd00,,,Kiraly Monika,hu,1010531,,0
A,1,73,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Heather Mayne,gb,817160,,0
A,1,73,BRT,4,ffffff,050505,ff8100,carrie hennessy,us,947459,,0
B,5,399,#EFDV,3094,4d4149,ff68c6,060004,Sophie Maenhout,be,802826,gold gold silver silver bronze,0
B,5,387,Team AHDR,629,fc6955,55d4fc,ffffff,Michelle Bond9178,au,378121,silver silver silver bronze,0
B,4,294,Team Fearless,1677,001f3f,39cccc,01ff70,Ruthie Shapiro,us,23967,bronze,0
B,4,274,ZSUN,161,ffffff,0073b7,ffffff,Deb Zelisko ZSUN,ca,535263,silver,0
B,4,246,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Deanna Solomon,ca,435347,gold,1
B,3,243,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Krista Kadatz,ca,928030,gold gold silver,0
B,3,236,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Laura Hewitt,ca,271103,gold bronze bronze,0
B,3,226,ZSUN,161,ffffff,0073b7,ffffff,Carrie Merritt ,us,456545,gold,0
B,3,211,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Alyssa Broner &#129418;,us,286553,silver,0
B,2,164,,0,00dd00,,,Allison Bullock,us,68591,gold gold,0
B,2,159,Team AHDR,629,fc6955,55d4fc,ffffff,Emily Compson,au,597805,gold bronze,0
B,2,157,PTz,1,ffffff,403d3a,e3680f,Siv Engmo,no,217993,gold,0
B,2,152,OrkneyCC,4200,de3232,0f0606,eb3636,Olga Hamilton 5394,gb-sct,937749,bronze,0
B,2,151,KISS RT,36,f56600,012350,84b7ca,Anja Leuendorff,de,170027,gold,0
B,2,144,ZSUN,161,ffffff,0073b7,ffffff,willemijn de Ru,ch,76435,bronze,0
B,2,136,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Shelly Coker[Vixen]&#129418;,gb,338493,,0
B,1,82,TBC RACING,4030,ffffff,0073b7,ffffff,Lisa Melvin,gb-sct,56485,gold,0
B,1,82,,0,00dd00,,,Lizzy Zoom3111,gb,1074044,gold,0
B,1,79,ZSUN,161,ffffff,0073b7,ffffff,Sylvie Holmes ZSUN,ca,87284,silver,0
B,1,79,S&auml;var CK,1766,ffffff,0073b7,ffffff,Mikaela Asplund,se,192975,silver,0
B,1,79,ZSUN,161,ffffff,0073b7,ffffff,Wiete Lukkezen1846,de,426476,silver,0
B,1,79,,0,00dd00,,,Vicki Strila,gb,62234,silver,0
B,1,79,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Amanda Alkema (Cryo Gen),gb,1050800,silver,0
B,1,77,Vikings,90,c2c2c2,0073b7,ee6331,Anne  L&oslash;fshus [V],no,1038506,bronze,0
B,1,75,Team AHDR,629,fc6955,55d4fc,ffffff,Krystle Simpson,au,197944,,0
B,1,73,eLatino,4523,fe2ec8,fafafa,fe2ec8,Barbara Frisch &#127802;MomInsideTraining,ar,692263,,0
B,1,71,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Kerri Thomas [VVixen] &#129418;,us,196575,,0
B,1,71,BZR cycling team,35,f3f300,111111,dd4b39,Kathleen Morren (BZR),be,1349941,,0
B,1,71,,0,00dd00,,,Trudy McGiffen,gi,433762,,0
B,1,65,,0,00dd00,,,Victoria H,us,87109,,0
C,5,386,BRT,4,ffffff,050505,ff8100,Lisa Armistead,us,279546,gold silver bronze,0
C,4,322,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Annaleen Visagie,za,1235014,gold gold silver silver,0
C,4,313,ZSUN,161,ffffff,0073b7,ffffff,A ZSUN Goat,ch,346294,gold silver bronze,0
C,4,296,Team AHDR,629,fc6955,55d4fc,ffffff,Janine P,au,406779,silver,0
C,3,246,BRT,4,ffffff,050505,ff8100,D. Barreto BRT Hellcatz,mx,581267,gold gold gold,0
C,3,233,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Sharon Longley,us,466958,silver bronze bronze,0
C,3,232,ZSUN,161,ffffff,0073b7,ffffff,Stephenie Jackman,gb,1058573,gold bronze,0
C,3,225,Team AHDR,629,fc6955,55d4fc,ffffff,Jen Williams&#128156;,au,31704,bronze,0
C,3,215,,0,00dd00,,,Tracy Verdegan,us,1066492,,0
C,2,164,Team AHDR,629,fc6955,55d4fc,ffffff,Mel Cockshutt,au,360943,gold gold,0
C,2,156,Team AHDR,629,fc6955,55d4fc,ffffff,Susie Beretta,au,16088,silver bronze,0
C,2,154,BRT,4,ffffff,050505,ff8100,Giovanna Fantucchio,gb,399625,silver,0
C,2,152,,0,00dd00,,,Tanya Appuhn,us,422242,bronze,0
C,2,142,Race3R,791,000000,2bc3f4,ffffff,Isabelle Goupil (R3R Westlife),ca,1151562,,0
C,2,142,,0,00dd00,,,HIROYUKI KAMIO,jp,1299280,,0
C,2,140,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Morgan Aldridge,us,444737,,0
C,2,138,,0,00dd00,,,Maria Somvall,se,1361271,,0
C,1,82,ZSUN,161,ffffff,0073b7,ffffff,Monica Holmes,us,71189,gold,0
C,1,82,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Jo Ganley KoS,gb,344233,gold,0
C,1,82,,0,00dd00,,,Michaela Fuetsch,at,76171,gold,0
C,1,82,,0,00dd00,,,Emily Hales1575,au,24515,gold,0
C,1,79,,0,00dd00,,,Ewa Siarka,pl,1069206,silver,0
C,1,79,Race3R,791,000000,2bc3f4,ffffff,Valery Ramirez (R3R Westlife),ca,475208,silver,0
C,1,79,TPH Racing,207,ffffff,0073b7,ebebeb,Lucy Jay [TPH],gb,986803,silver,0
C,1,79,,0,00dd00,,,Alice Larkin,gb,1396469,silver,0
C,1,79,,0,00dd00,,,Seena Petersen,dk,967719,silver,0
C,1,79,MVW,4545,fff700,000000,000000,Claire Cowell,im,792664,silver,0
C,1,77,ZSUN,161,ffffff,0073b7,ffffff,Wendy Habermann,ch,345083,bronze,0
C,1,77,Team AHDR,629,fc6955,55d4fc,ffffff,Sharon MacMaster,au,34166,bronze,0
C,1,77,,0,00dd00,,,vanessa taylor,gb,205224,bronze,0
C,1,77,,0,00dd00,,,Anne-Marie Fontayne,fr,1047791,bronze,0
C,1,77,,0,00dd00,,,Nan Wang,us,505009,bronze,0
C,1,75,,0,00dd00,,,Angie Coleman,au,1146598,,0
C,1,75,,0,00dd00,,,Floranne van den Broek,no,1343573,,0
C,1,75,,0,00dd00,,,Melanie Sauve8442,ca,958439,,0
C,1,75,ZSUN,161,ffffff,0073b7,ffffff,Iliada Bolton,au,142450,,0
C,1,73,,0,00dd00,,,Astrid 5020,at,1269122,,0
C,1,73,FZR,2834,0000ff,ffffff,0000ff,Jenni Kinnunen,fi,897935,,0
C,1,71,Team Fearless,1677,001f3f,39cccc,01ff70,Virginia Howard,us,122695,,0
C,1,69,,0,00dd00,,,Lena Gunhaga,se,1023514,,0
D,5,410,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Cerys Willoughby,gb,30637,gold gold gold gold gold,0
D,4,322,ZSUN,161,ffffff,0073b7,ffffff,Steph Hub ,ca,661933,gold gold silver silver,0
D,2,164,ZSUN,161,ffffff,0073b7,ffffff,Emily Lewis,gb,871667,gold gold,0
D,1,82,Team AHDR,629,fc6955,55d4fc,ffffff,Carol Ng,au,167002,gold,0
D,1,82,,0,00dd00,,,Litta Lauth,dk,1285076,gold,0
D,1,82,REVO,2672,fc00e3,000000,fc00e3,Teresa Childs [REVO] D,gb,382859,gold,0
D,1,82,,0,00dd00,,,C&eacute; Janie,fr,1177152,gold,0
D,1,82,,0,00dd00,,,Michelle Scott,us,1148735,gold,0
D,1,82,Team AHDR,629,fc6955,55d4fc,ffffff,Nicole Bruce,au,768923,gold,0
D,1,79,,0,00dd00,,,Xuan Sheng,jp,1114981,silver,0
D,1,79,,0,00dd00,,,Carol  Faid,ca,913820,silver,0
D,1,79,,0,00dd00,,,Chantal Marle,nl,1238771,silver,0
D,1,79,ZSUN,161,ffffff,0073b7,ffffff,Heidi Lehmann,dk,399588,silver,0
D,1,77,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Leslie Arnett FRS(D),us,863921,bronze,0
D,1,77,,0,00dd00,,,Ann Walker,gb,470488,bronze,0
D,1,75,,0,00dd00,,,Rebecka Westerberg,se,1014011,,0
D,1,73,BIKES-FRANCE,1965,000000,f2ad00,000000,Laurensot  Cecile [BIKES-FR]  ,fr,952111,,0
