category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,2,49,,,,,,Edwin Driessen,nl,219489,gold silver,0
A,2,49,Team CRYO-GEN,,ffffff,0073b7,ffffff,Jason Fitchew,gb,51253,gold silver,0
A,1,29,PTz,,ffffff,403d3a,e3680f,Andr&eacute; Resende,pt,246864,bronze,0
A,1,27,KST,,ffffff,0073b7,ffffff,Martin Carlsen | KST,dk,175705,,0
A,1,26,,,,,,J Ferrer,es,762388,gold,0
A,1,25,BathCC,,ffffff,0073b7,ffffff,Will Duffy,gb,820305,,0
A,1,23,Team Italy,,dd4b39,ffffff,00a65a,Markus Schneider(ITA),it,948870,silver,0
A,1,23,,,,,,Nic Wright,gb-wls,930528,,0
A,1,21,TCC&#9650;,,00fcde,120404,00fcde,Ben Lloyd Pro Vision RT,gb,1140592,bronze,0
A,1,21,Race3R,,000000,2bc3f4,ffffff,Roman T &#10026;,de,21486,,0
A,1,19,/// PCA &#128165;,,ffffff,000000,ff0000,Muki Mouse,au,199397,,0
A,1,19,,,,,,Tim Koo,nl,1362799,,0
A,1,17,,,,,,Timothy Dawson,za,1006134,,0
A,1,17,Sandane SK,,ffffff,0073b7,ffffff,Per Erik Eimhjellen,no,164263,,0
A,3,16,Hitchin Nomads,,ffffff,0073b7,ffffff,John Curtin HNCC,gb,295910,,0
A,1,15,,,,,,Jonathan Walford,gb,69521,,0
A,1,15,FUSION DEVELOPMENT,,ffffff,0a1e29,ffffff,Jens Frede Rasmussen,dk,42327,,0
A,1,13,Team CRYO-GEN,,ffffff,0073b7,ffffff,Matthew Wales,gb-eng,465473,,0
A,1,13,,,,,,Zac Walker,im,1146755,bronze,0
A,1,13,,,,,,Michal  KO,pl,975082,,0
A,1,11,BRT,,ffffff,050505,ff8100,Francois Vuadens,ch,19220,,0
A,1,11,Cycles Regis-360,,ffffff,0073b7,ffffff,N. DIDTSCH [CYCLES R&Eacute;GIS],ca,1231836,,0
A,1,11,,,,,,Jack Ramsbottom [Caffi Gruff],gb-wls,1407870,,0
A,1,9,Vikings,,c2c2c2,0073b7,ee6331,Hans Petter  H&oslash;ydal,no,400699,,0
A,1,9,,,,,,Jelmer Slob,nl,1231575,,0
A,1,9,FINESSE ECT,,f7f915,0ccaff,000000,Mac Potter YYC (FINESSE),ca,459631,,0
A,1,7,Erdinger,,ffffff,0073b7,ffffff,Andrew Diplock,gb,480981,,0
A,1,7,,,,,,Ralf Anacker  1244,de,414421,,0
A,1,6,Team CRYO-GEN,,ffffff,0073b7,ffffff,Vincent Davis,us,87402,,0
A,1,5,,,,,,Daniel Lipinski,pl,1479390,,0
A,1,5,PTz,,ffffff,403d3a,e3680f,Pedro Barroso,pt,24638,,0
A,1,4,,,,,,Jan Ve&#269;e&#345;a9548,cz,1321992,,0
A,1,3,DBR,,ffffff,eb7b2a,ffffff,Martin Larsen [DBR],dk,854658,,0
A,3,3,Hitchin Nomads,,ffffff,0073b7,ffffff,Romans Nearly.Guru,gb,242648,,2
A,1,3,DBR,,ffffff,eb7b2a,ffffff,Anton Nordstj&aelig;rne Larsen (U17),dk,821266,,0
B,3,119,BRT,,ffffff,050505,ff8100,Barry Davis,gb-eng,397176,,0
B,2,102,BRT,,ffffff,050505,ff8100,Karl Atkinson NCC,gb,311166,bronze,0
B,2,74,DBR,,ffffff,eb7b2a,ffffff,Kasper Lincke [DBR],dk,1241004,,0
B,1,74,KISS RT,,f56600,012350,84b7ca,TCaplen - Toby McTobeface,gb,14123,gold,0
B,1,71,Innovation,,000000,52ff33,000000,Nick Kalson,gb,218063,silver,0
B,1,67,,,,,,Florian Uebing,de,1083411,,0
B,1,65,Stages SuperCube,,ffffff,0073b7,ffffff,Matt Tucker,us,704639,,0
B,1,63,,,,,,Falk D&ouml;ring ARA,de,562704,,0
B,1,61,,,,,,Bruce Irvine,gb-sct,848759,,0
B,1,59,Race3R,,000000,2bc3f4,ffffff,Jono Martin (R3R Playboys),gb-wls,593346,,0
B,1,55,,,,,,James Samuel,gb-eng,1381556,,0
B,1,51,,,,,,Jonathan  Davey,gb,1474,,0
B,1,49,DBR,,ffffff,eb7b2a,ffffff,Ulrik Andreassen,dk,882395,,0
B,1,45,Innovation,,000000,52ff33,000000,Andy Davies,gb,6720,,0
B,1,43,,,,,,clement palozzi,it,88907,,0
B,1,42,Contact RT,,ffffff,120a0a,fafafa,david  lawson,gb,228669,gold,0
B,1,42,Vision,,ffffff,2ea9e0,000000,James Richardson,gb,441885,gold,0
B,1,41,HERD,,383c3d,fc6719,383c3d,kevyn Newton,gb,39508,,0
B,1,39,Vision,,ffffff,2ea9e0,000000,Steve Fleetwood &#128000;&#128304;,gb,75421,silver,0
B,1,39,FUSION DEVELOPMENT,,ffffff,0a1e29,ffffff,Kristian Nissen,dk,1116035,silver,0
B,1,39,,,,,,Martin L&oslash;vik,no,637915,,0
B,1,37,Protech-velo,,dedecd,612424,260808,Colin Humphrey,gb-eng,606826,bronze,0
B,1,37,BZR cycling team,,f3f300,111111,dd4b39,Bert De Ridder,be,296378,bronze,0
B,1,37,,,,,,Joey McGuire,us,980538,,0
B,1,35,Vikings,,c2c2c2,0073b7,ee6331,Espen Solvin,no,183605,,0
B,1,35,,,,,,P&eacute;ter B&aacute;lint,hu,1592066,,0
B,1,33,TURBO,,fc671a,000000,000000,Rosamund Bradbury (B),gb,201600,,0
B,1,33,FUSION DEVELOPMENT,,ffffff,0a1e29,ffffff,Sigurgrimur Jonsson,is,82570,,0
B,1,31,Vikings,,c2c2c2,0073b7,ee6331,Morten Jahr,no,288797,,0
B,1,31,EBR,,ffffff,0073b7,ffffff,Matt Anderson,gb,193627,,0
B,1,31,,,,,,Wayne Aylesbury,gb,915954,,0
B,1,29,,,,,,Maarten van Sprakelaar,nl,300509,,0
B,1,29,,,,,,P aul Whatmough,gb,98148,,0
B,1,29,,,,,,Haydn Maughan,gb,486179,,0
B,1,27,BAB,,000000,fc0000,000000,Tor-Atle Fuglerud,no,155688,,0
B,1,27,,,,,,Viktor Ivanov,ru,1212348,,0
B,1,25,Team Brasil,,ffffff,0073b7,ffffff,Douglas A Goergen,br,836684,,0
B,1,25,EBR,,ffffff,0073b7,ffffff,Paul Saunders,gb,184127,,0
B,1,25,BRT,,ffffff,050505,ff8100,R az [BRT],gb,1094935,,0
