category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,7,84,WTRL,,d4af37,000000,d4af37,0,be,0,gold gold gold gold gold gold gold,1
A,7,66,,,,,,1,nl,1,silver silver silver silver silver silver silver,1
A,7,54,,,,,,2,pt,2,bronze bronze bronze bronze bronze bronze bronze,1
A,7,36,TFC,,111111,f3f300,111111,3,gb,3,gold gold,3
A,7,28,DIRT,,29ec34,211208,df6a0d,4,us,4,silver silver,3
A,7,21,RCR,,ffffff,ff4591,00183c,5,gb,5,gold bronze bronze,4
A,7,10,,,,,,6,be,6,gold gold silver,5
A,1,10,,,,,,Bruce Raeside (Ilkeston CC),gb,1891309,gold,0
A,1,7,Innovation,,000000,52ff33,000000,Andrew Kirby,gb,933861,silver,0
A,1,5,,,,,,Luis Andrade [Z-Cycling-A],pt,60851,bronze,0
A,1,3,,,,,,Siena Hayes [CURCT],gb,2154563,,0
A,1,1,,,,,,Karl Stubelis4316,lv,318,,0
B,7,68,,,,,,7,gb,7,gold gold silver silver bronze,1
B,7,55,BRT,,ffffff,050505,ff8100,8,kn,8,silver silver bronze bronze,1
B,7,44,,,,,,9,us,9,bronze bronze,1
B,7,33,RLSCC,,dec103,000000,f5f50b,10,no,10,gold,2
B,7,25,TugaZ,,ffffff,ff1f00,33735b,11,pt,11,gold silver,3
B,7,18,Trek Trakya,,ffffff,ff0202,030101,12,tr,12,gold silver bronze,3
B,1,18,,,,,,Geert Lombaert,be,232712,gold,0
B,1,15,BRT,,ffffff,050505,ff8100,Richard Jones [BRT],kn,2409422,silver,0
B,1,13,Bery ((&#128080;)),,ffffff,0073b7,ffffff,Sebas Correa,co,945067,bronze,0
B,1,11,,,,,,brian wie,us,364785,,0
B,1,9,,,,,,Matthew Aston,gb,1271976,,0
B,7,7,USM Villeparisis,,ffffff,eb0e0e,535cc9,13,fr,13,gold gold silver bronze,5
B,1,7,,,,,,Dacre Wroe 5525,gb,1483633,,0
B,1,5,PPCC,,e01616,001c33,cfa9a9,Lana Loama (PPCC) &#9895;&#65039;,gb,373654,,0
B,7,1,USM Villeparisis,,ffffff,eb0e0e,535cc9,14,fr,14,gold gold silver silver bronze,6
C,7,60,HCZR,,ffffff,0073b7,ffffff,15,gb,15,gold silver silver bronze bronze,2
C,7,50,,,,,,16,dk,16,gold silver bronze bronze,3
C,7,42,Tri Ireland,,ffffff,0073b7,ffffff,17,ie,17,silver bronze,3
C,7,35,DBR,,ffffff,eb7b2a,ffffff,18,dk,18,gold bronze,4
C,7,29,,,,,,19,ca,19,silver,4
C,7,23,,,,,,20,gb,20,bronze,4
C,1,18,USM Villeparisis,,ffffff,eb0e0e,535cc9,5003 MATHIEU St&eacute;phane,fr,1477257,gold,0
C,1,15,,,,,,Jens Gross,de,1000909,silver,0
C,1,13,USM Villeparisis,,ffffff,eb0e0e,535cc9,5002 Andre david,fr,1459705,bronze,0
C,1,11,,,,,,Marcus Alexander,us,315996,,0
C,7,9,,,,,,21,ca,21,gold gold,6
C,1,9,PCC &#128693;,,ffffff,0073b7,ffffff,David Haseldine BCSouth (PCC Latte 2),gb,1679736,,0
C,7,7,,,,,,22,gb,22,silver silver,6
C,1,7,,,,,,pato briggs,gb-eng,360770,,0
C,7,5,,,,,,23,gb,23,bronze bronze,6
C,7,4,BRT,,ffffff,050505,ff8100,24,gb,24,,6
D,7,101,England CC,,ffffff,d24848,3b3b6b,25,gb-eng,25,gold,0
D,7,89,BRT,,ffffff,050505,ff8100,26,us,26,silver,0
D,7,78,,,,,,27,gb,27,bronze,0
D,5,64,,,,,,28,gb,28,,0
D,5,56,,,,,,29,ca,29,,0
D,5,49,BRT,,ffffff,050505,ff8100,30,gb,30,,0
D,4,42,WECC,,ffffff,fa01ff,2102fe,31,gb-wls,31,,0
D,3,34,Innovation,,000000,52ff33,000000,32,gb,32,,0
D,3,29,All,,ffffff,0073b7,ffffff,33,de,33,,0
D,1,26,No. 22 CX Team,,ffffff,000000,ffffff,Bill Pjontek,us,1111096,gold,0
D,1,23,,,,,,Robert Yog Ashwell,gb,1001853,silver,0
D,2,22,BRT,,ffffff,050505,ff8100,34,us,34,,0
D,1,21,Walsall Lads,,ffffff,0073b7,ffffff,David Whitehouse (WRCC),gb,550451,bronze,0
D,2,19,StinkyFleet,,ddff00,68cee6,00ff6b,35,us,35,,0
D,1,19,,,,,,Matt Varey,ca,580973,,0
D,1,17,,,,,,e Harris,us,1090582,,0
D,2,16,MVCC,,ffffff,113399,de2525,36,gb-sct,36,,0
D,1,15,BRT,,ffffff,050505,ff8100,Tee Allen,us,683793,,0
D,1,13,,,,,,Andrew Conradi 6862,gb-eng,841657,,0
D,1,11,BRT,,ffffff,050505,ff8100,Andrew Tapley (BRT Session beers),gb,145450,,0
D,1,9,BRT,,ffffff,050505,ff8100,Art Pacione (BRT Cosmos),us,112213,,0
D,1,9,BRT,,ffffff,050505,ff8100,37,us,37,,0
D,1,7,,,,,,Sten Linde,se,1008093,,0
D,1,7,teamWKG,,fa5e06,3f4c54,3f4c54,38,no,38,,0
D,1,6,,,,,,39,us,39,,0
D,1,5,MVCC,,ffffff,113399,de2525,Roddy Macfarlane,gb-sct,1115986,,0
D,1,5,IRL,,ffffff,000000,00b84a,40,gb,40,,0
D,1,4,EH Star,,ffffff,0073b7,ffffff,41,gb-sct,41,,0
D,1,3,Korrridas,,ffffff,0073b7,ffffff,42,pt,42,,0
