category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,3,26,BRT,,ffffff,050505,ff8100,Sean Casson(BRT Tripel beers),gb,161615,gold silver,0
A,1,18,2RR reserve,,000000,f0e200,f29913,Vincent Kerdraon,fr,183116,gold,0
A,2,17,,,,,,Gustavo Souza,nz,16158,gold silver,0
A,1,15,S/ Dublin Port,,ffffff,b0d6fa,ffffff,Paul Kennedy (S/Dublinport),ie,406799,silver,0
A,1,13,,,,,,Jake Rytlewski (E-Stallas),us,5328,bronze,0
A,1,11,,,,,,C. McNay4111,ie,430512,,0
A,1,10,BRT,,ffffff,050505,ff8100,Rhys  Richard [BRT] (BRT Craft Beers),gb-wls,1056206,gold,0
A,1,10,Team Echelon,,000000,00ffea,0a0101,Kris Yip,ca,983328,gold,0
A,1,10,,,,,,Mircea Puiulet,us,7672,gold,0
A,1,10,WTRL,,d4af37,000000,d4af37,P. Schaefer (Skylab),de,1125195,gold,0
A,1,7,,,,,,Simon Hall (HKSN/TORQ),gb,1996843,silver,0
A,1,7,Otley CC,,ffffff,00a2e1,000000,Benjamin Craggs,gb,156829,silver,0
A,1,7,WCC,,ffffff,050000,ed0909,S  Brown,gb,290736,,0
A,1,7,Sportsolid,,ffffff,0073b7,ffffff,Jari Geerts 3149,be,1101458,silver,0
A,3,5,FUCM,,ffffff,37d96e,ffffff,Henrik Gielstrup,dk,304227,gold gold bronze,2
A,1,5,PTz,,ffffff,f28312,121110,Graham Jones (COPZ),gb,1929,bronze,0
A,1,5,Team KOTW,,ffffff,0073b7,000000,Ross Chapman,gb-sct,1237177,,0
A,1,5,,,,,,James Saunders,gb,281614,bronze,0
A,1,3,,,,,,Luke Belton5383,gg,397301,,0
A,1,3,,,,,,Nestor Arenas,es,1875541,,0
A,1,3,TRIATLON CANOE,,106ff7,f7f711,106ff7,Diego Arg&uuml;ello Ron,es,1807446,,0
B,1,34,TFC,,111111,f3f300,111111,Vincent O&rsquo;Leary (TFC),ie,1350525,gold,0
B,1,31,Chain,,0f0d0d,2989bf,ffffff,Allen Stanfield- TEAM MPI,us,7062,silver,0
