category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,5,63,,,,,,Marc-Antoine Pouliot,ca,171939,silver,0
A,2,54,DIRT,,29ec34,211208,df6a0d,Timothy McLeod (DIRTy Rascals Riot),us,1921243,,0
A,2,44,,,,,,Georwill PerezRoman,pr,1885360,,0
A,1,42,BRC,,ffffff,0073b7,c27f7f,Gary Walker,gb-nir,37327,gold,0
A,2,40,,,,,,Rob Rigg,ca,280236,,0
A,1,39,Wattie Ink. Racing,,f5f511,030303,e9ed0d,Josh Taylor (Wattie Ink.),us,720120,silver,0
A,2,38,DIRT,,29ec34,211208,df6a0d,Joe Senn,us,1267806,,0
A,5,37,,,,,,Sean Harrison(c),us,214656,,0
A,1,37,PETA-Z,,ff0000,ffff00,000000,J.Ord&oacute;&ntilde;ez (PETA-Z MA),es,1325419,bronze,0
A,1,34,KALAS eSRT,,ff0000,000000,ff0000,Morten  Vaeng (KALAS eSRT),no,259131,gold,0
A,1,31,ZSUNR,,ffd808,1c1300,ffffff,Rick Anderson (ZSUNR - Red Giants),gb-wls,504950,silver,0
A,1,31,TBW23,,f7f7f7,000000,ff0000,Peter Merritt (TBW23),gb,1010425,,0
A,1,29,Velocio,,ffffff,63eff4,f6b6b6,Kevin Bouchard-Hall (ATP Supra),us,2670,bronze,0
A,1,27,Finesse Rockets,,000000,ffffff,800080,Joseph Chudyk (Finesse),us,2568352,,0
A,1,27,,,,,,Paul Petrie 580477,us,582237,,0
A,1,26,,,,,,Mikkel Redder,dk,1802221,gold,0
A,1,26,FUSION ECT,,ffffff,000000,ffffff,Jesper Attermann (FUSION ECT),dk,67632,gold,0
A,1,26,KISS RT,,f56600,012350,84b7ca,James Hodges,gb,16708,gold,0
A,1,25,Vitus E-Sports,,ffffff,000000,f60000,Adam Kenway (Vitus E-Sports),gb,963327,,0
A,1,23,,,,,,Kamil Lefever,be,903596,,0
A,1,23,Vision,,ffffff,2ea9e0,000000,Tommi Martikainen (Vision),fi,286100,silver,0
A,1,23,SZ,,ffffff,285697,ffd700,Erik Holmberg [SZ] (La Bomba),se,937790,silver,0
A,1,23,DIRT,,29ec34,211208,df6a0d,George Henry (DIRTy Rascals Riot),us,258182,,0
A,1,23,Velocio,,ffffff,63eff4,f6b6b6,Jason Frank (Velocio),us,925563,silver,0
A,1,21,WTRL,,d4af37,000000,d4af37,Jean-luc crouzilles (VOLENDAM),fr,691984,,0
A,1,21,BZR-SPSD eTeam,,111111,f3f300,ff3400,Koen Van Geyt (BZR-SPSD Red),be,115080,bronze,0
A,1,21,HCCC,,000080,aacab3,000080,Charles Batko (HCCC),us,300102,bronze,0
A,1,21,,,,,,Anders Svensson,se,1404032,,0
A,1,21,X-CASE,,ffffff,10609f,ffffff,Sebastian Buschmann [XC],de,1599412,bronze,0
A,2,20,Vikings,,c2c2c2,0073b7,ee6331,Per Arvid Gimre [V] (Gleipnir),no,110385,,0
A,1,19,+Restart,,5da29d,162a25,5da29d,Merlin Dallaire (Restart),ca,3003593,,0
