category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,4,02:37:12.4,AFC,1405,ff0000,000000,cc0000,Seth G &#9729;&#65039; &#128304;,us,463284,,0
A,3,+16:23.4,DIRT,2707,29ec34,563c0f,df6a0d,Rex  Tan,ph,378499,,0
B,4,02:41:00.0,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Jeff Arnier Sr. (CRYO-GEN Vultures),us,322928,,0
B,4,+04:12.2,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Chris Lawson &#129418; [VFOX],us,944931,,0
B,4,+05:37.4,BRT,4,ffffff,050505,ff8100,Matt Cope (BRT),gb,292632,,0
B,3,+07:50.1,HPP,1528,bf0101,ffffff,bf0101,Brian White,us,244799,,0
B,4,+09:35.6,,,,,,Alejandro Mallea,cl,787828,,0
B,4,+13:52.8,ZESP,2146,000000,fabd00,ad1519,Felipe Telletxea,es,542352,,0
C,4,02:51:09.3,RCC,265,fc2097,d2d6de,111111,Robert Evans,us,1352742,,0
C,4,+05:24.4,,,,,,Neal Coughlin,us,623030,,0
C,4,+07:25.8,,,,,,Adrien Benusiglio,fr,882956,,0
C,4,+17:31.3,,,,,,Crystal Strong,us,816765,,0
C,3,+29:51.8,,,,,,Marc ''Ketiyer''  Ethier CCC,ca,565515,,0
C,4,+30:59.6,,,,,,Joe Fortier,us,861534,,0
D,4,03:28:01.9,,,,,,Damien Bruck ,us,865286,,0
D,4,+32:44.8,,,,,,Curtis Linton,ca,995853,,0
