category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,2,40,AFC,1405,ff0000,000000,cc0000,Seth G &#9729;&#65039; &#128304;,us,463284,,0
A,1,28,,0,00dd00,,,Andrew Escandon,us,879926,,0
B,2,40,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Jeff Arnier Sr. (CRYO-GEN Vultures),us,322928,,0
B,2,28,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Chris Lawson &#129418; [VFOX],us,944931,,0
B,2,18,HPP,1528,bf0101,ffffff,bf0101,Brian White,us,244799,,0
B,1,13,DIRT,2707,29ec34,563c0f,df6a0d,M. LeVasseur (DIRTy Steamers),us,533959,,0
B,2,9,BRT,4,ffffff,050505,ff8100,Matt Cope (BRT),gb,292632,,0
B,1,4,Team AHDR,629,fc6955,55d4fc,ffffff,Sam Bendigo,au,399329,,0
C,2,34,RCC,265,fc2097,d2d6de,111111,Robert Evans,us,1352742,,0
C,2,34,,0,00dd00,,,Adrien Benusiglio,fr,882956,,0
C,2,20,,0,00dd00,,,Neal Coughlin,us,623030,,0
C,2,12,,0,00dd00,,,Crystal Strong,us,816765,,0
C,2,8,,0,00dd00,,,Joe Fortier,us,861534,,0
D,2,40,,0,00dd00,,,Damien Bruck ,us,865286,,0
D,2,28,,0,00dd00,,,Curtis Linton,ca,995853,,0
