category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,2,35,AFC,1405,ff0000,000000,cc0000,Seth G &#9729;&#65039; &#128304;,us,463284,,0
A,1,23,DIRT,2707,29ec34,563c0f,df6a0d,Rex  Tan,ph,378499,,0
A,1,21,Race3R,791,000000,2bc3f4,ffffff,Vincent H,ca,935824,,0
A,1,16,,0,00dd00,,,Felipe Nystrom,cr,77635,,0
A,1,14,,0,00dd00,,,Andrew Escandon,us,879926,,0
B,2,24,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Chris Lawson &#129418; [VFOX],us,944931,,0
B,2,21,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Jeff Arnier Sr. (CRYO-GEN Vultures),us,322928,,0
B,1,17,,0,00dd00,,,Ye Fan,cn,797792,,0
B,2,17,BRT,4,ffffff,050505,ff8100,Matt Cope (BRT),gb,292632,,0
B,1,12,FINESSE,2779,f7f915,0ccaff,00a8d6,JS deBoer,ca,61107,,0
B,1,10,,0,00dd00,,,Alex Turpin,us,324238,,0
B,1,9,DIRT,2707,29ec34,563c0f,df6a0d,B Atkins (DIRT Bags),us,830421,,0
B,2,9,HPP,1528,bf0101,ffffff,bf0101,Brian White,us,244799,,0
B,1,8,DIRT,2707,29ec34,563c0f,df6a0d,M. LeVasseur (DIRTy Steamers),us,533959,,0
B,1,5,,0,00dd00,,,Thor BG-Man,de,471274,,0
B,2,4,,0,00dd00,,,Alejandro Mallea,cl,787828,,0
B,1,3,,0,00dd00,,,Mike Brown TDM,au,211291,,0
B,1,1,BOBR,5133,ffffff,0073b7,ffffff,MicaJon Dykes BOBR,us,1575,,0
C,2,44,,0,00dd00,,,Adrien Benusiglio,fr,882956,,0
C,2,31,RCC,265,fc2097,d2d6de,111111,Robert Evans,us,1352742,,0
C,2,23,,0,00dd00,,,Neal Coughlin,us,623030,,0
C,2,14,,0,00dd00,,,Joe Fortier,us,861534,,0
C,2,10,,0,00dd00,,,Crystal Strong,us,816765,,0
C,1,7,,0,00dd00,,,R. Florence ,us,2210,,0
C,1,6,,0,00dd00,,,Merrill Smith (MoveDaddy.com)  C,us,204912,,0
C,1,3,,0,00dd00,,,John Kreidler,us,96260,,0
D,2,44,,0,00dd00,,,Damien Bruck ,us,865286,,0
D,2,20,,0,00dd00,,,Phil Knowles,us,1165602,,0
D,1,19,TeamPL,25,ffffff,ff1800,ff0000,Mariusz Malzenski [TeamPL],au,1233343,,0
D,1,17,,0,00dd00,,,Doug Rodenkirch,us,920227,,0
D,2,17,,0,00dd00,,,Curtis Linton,ca,995853,,0
D,1,8,REVO,2672,fc00e3,000000,fc00e3,Sara Perrin [REVO],us,420144,,0
