category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,5,119,BRT,4,ffffff,050505,ff8100,Keith Robertson [BRT] &#9889;,gb,894741,,0
A,5,32,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,Andre Reinlein (KC) &#128304;,de,1073380,,0
A,2,31,Team CLS,1426,3d9970,ffffff,ffffff,tim epping,zw,399900,,0
A,4,27,BRT,4,ffffff,050505,ff8100,Christian Moxon &#128304; [BRT],gb,35037,,0
A,4,25,BRT,4,ffffff,050505,ff8100,John Bergenske &#128304;&#9889;&#65039;(BRT Draft Beers),us,180408,,0
A,1,20,Innovation,975,000000,52ff33,000000,Niki H &#128304; [INC],ch,174313,,0
A,5,20,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,M. Michael &#128304;,de,404187,,0
A,1,20,SAKARI,1187,001dff,46ff00,31b6fc,M Moehn,us,73702,,0
A,1,19,BRT,4,ffffff,050505,ff8100,Michael Cox (The BRaT Pack) ,ie,514280,,0
A,4,18,BRT,4,ffffff,050505,ff8100,Hywel Davies &#128304; ,gb-wls,1119043,,0
A,1,15,IRL,3369,ffffff,32968e,e66f1a,Greg Foley (IRL),ie,1025459,,0
A,5,14,Vision,9,ffffff,2ea9e0,000000,Matt Brooke [VISN],gb,278678,,0
A,1,12,BRT,4,ffffff,050505,ff8100,Bas Seldenrijk &#128304;,nl,274131,,0
A,2,12,STW,756,ffffff,0073b7,ffffff,Jon Bayley,gb,431475,,0
A,1,10,,0,00dd00,,,Oliver W Bates,gb,256868,,0
A,2,9,BRT,4,ffffff,050505,ff8100,Lexie Lightning&#9889;&#65039;&#128304;(BRT Draft Beers),nl,496345,,0
A,4,8,BRT,4,ffffff,050505,ff8100,David Crawford (BRT),gb,679365,,0
A,5,8,TeamNL,2281,ffffff,ffa500,ffa500,Ruben Guis,nl,52559,,0
A,1,8,Sz,32,f3f300,0073b7,f3f300,Staffan Hopstadius [SZ] (La Bomba),se,182715,,0
A,1,7,,0,00dd00,,,JF Bourdon-Cycles Regis team Quebec,ca,184122,,0
A,1,7,Race3R,791,000000,2bc3f4,ffffff,Roman T &#10026;,de,21486,,0
A,1,7,BRT,4,ffffff,050505,ff8100,Theo Miglakis &#127808; [The Mig],gr,249545,,0
A,2,5,,0,00dd00,,,il pinguino,gb,53921,,0
A,1,5,DIRT,2707,29ec34,563c0f,df6a0d,Jason O&#039;Neill (DIRTy AF),us,135104,,0
A,1,3,BRT,4,ffffff,050505,ff8100,Phil Whiteley,gb,161329,,0
A,1,3,ZTPL eRacing,4493,ffffff,ff0000,000000,Michal Jablonka (ZTPL 2),pl,44878,,0
A,1,3,FRH,4991,480eb3,fa50d6,480eb3,Markus Sj&ouml;gren,se,812177,,0
A,4,3,Walsall Lads,2570,ffffff,0073b7,ffffff,David Whitehouse (WRCC),gb,550451,,0
A,1,3,,0,00dd00,,,Nicolas Dricot,be,877291,,0
A,1,2,BRT,4,ffffff,050505,ff8100,Will Budge &#9889;&#65039; [BRT],gb,198214,,0
A,1,1,TFC,10,111111,f3f300,111111,Dustin Byers (TFC),us,399357,,0
B,5,97,Blarney CC,4612,f5eeee,e61313,241818,Michael Considine,ie,787676,,0
B,5,96,Team AHDR,629,fc6955,55d4fc,ffffff,Daniel Wells,au,146085,,0
B,1,30,BRT,4,ffffff,050505,ff8100,Stuart Hardy &#128034; [BRT],gb,591535,,0
B,1,30,,0,00dd00,,,Tim Wern ,us,1779,,0
B,4,22,BRT,4,ffffff,050505,ff8100,Jessica Hamilton,nz,653395,,0
B,1,20,,0,00dd00,,,Brian Sharkey,us,430579,,0
B,1,19,Groove SES,3003,ffffff,0073b7,ffffff,Kevin Selker,mx,696782,,0
B,3,17,,0,00dd00,,,David Brady,gb-eng,392747,,0
B,5,15,,0,00dd00,,,josh flanagan ,us,7236,,0
B,5,14,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Angela MacRae (CRYO-GEN) CG-A1,au,1332978,,0
B,1,13,TeamPL,25,ffffff,ff1800,ff0000,Jacek Nawroj,pl,192593,,0
B,1,11,SQUADRA&#127464;&#127469;,3210,e0e0e0,f20b0b,1baafa,Gunpowder,es,383876,,0
B,1,9,,0,00dd00,,,Stannie Bardie Jongen,nl,1415819,,0
B,2,8,,0,00dd00,,,Michael Dunn,au,170329,,0
B,1,8,BRT,4,ffffff,050505,ff8100,Dom Betteridge,gb,53000,,0
