category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,1,00:06:22.4,AFC,1405,ff0000,000000,cc0000,Seth G &#9729;&#65039; &#128304;,us,463284,,0
A,1,+00:08.1,Blarney CC,4612,f5eeee,e61313,241818,Colm Sheahan,ie,1184344,,0
A,1,+00:11.1,Race3R,791,000000,2bc3f4,ffffff,Penn Henderson,us,137175,,0
A,1,+00:14.4,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,Andre Reinlein (KC) &#128304;,de,1073380,,0
A,1,+00:15.0,Vision,9,ffffff,2ea9e0,000000,Matt Brooke [VISN],gb,278678,,0
A,1,+00:16.6,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,M. Michael &#128304;,de,404187,,0
A,1,+00:19.1,BRT,4,ffffff,050505,ff8100,Hywel Davies &#128304; ,gb-wls,1119043,,0
A,1,+00:19.5,BRT,4,ffffff,050505,ff8100,Christian Moxon &#128304; [BRT],gb,35037,,0
A,1,+00:19.7,TugaZRT,2466,ffffff,ff1f00,33735b,Alberto Amaral(tugaZRT) ,pt,681280,,0
A,1,+00:19.8,BRT,4,ffffff,050505,ff8100,Keith Robertson [BRT] &#9889;,gb,894741,,0
A,1,+00:20.6,BRT,4,ffffff,050505,ff8100,Bas Seldenrijk &#128304;,nl,274131,,0
A,1,+00:23.6,,0,00dd00,,,Nathan Killam &#128104;&#127995; 4 Hire,ca,16044,,0
A,1,+00:27.6,BRT,4,ffffff,050505,ff8100,John Bergenske &#128304;&#9889;&#65039;(BRT Draft Beers),us,180408,,0
A,1,+00:29.9,BRT,4,ffffff,050505,ff8100,Mark Worthington,gb,71062,,0
A,1,+00:30.5,Team AHDR,629,fc6955,55d4fc,ffffff,J&ouml;rgen Johansson,se,388931,,0
A,1,+00:34.1,BRT,4,ffffff,050505,ff8100,Scott Bussom,us,48210,,0
A,1,+00:38.2,TeamNL,2281,ffffff,ffa500,ffa500,Ruben Guis,nl,52559,,0
A,1,+00:39.6,,0,00dd00,,,Stijn Laureys,be,34403,,0
A,1,+00:39.9,Race3R,791,000000,2bc3f4,ffffff,Vincent H,ca,935824,,0
A,1,+00:45.8,BRT,4,ffffff,050505,ff8100,David Crawford,gb,679365,,0
