category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,2,02:17:06.4,KirchmairCycling,2991,210606,f2e80d,000103,Chris Schmidt (KC),de,794847,,0
A,2,02:18:30.0,ZRG,1942,1bc1f1,3d3d3d,1bc1f1,Fabian Kelling (ProjektHawaii),de,454172,,0
A,2,02:19:50.2,,0,00dd00,,,Egor Nikitin,ru,448025,,0
A,3,02:33:45.9,BRT,4,ffffff,050505,ff8100,Hywel Davies &#128304; (The BRat Pack),gb-wls,1119043,,0
A,3,02:33:48.7,BRT,4,ffffff,050505,ff8100,Christian Moxon &#128304; [BRT],gb,35037,,0
A,3,02:34:19.7,BRT,4,ffffff,050505,ff8100,Keith Robertson [BRT] &#9889;,gb,894741,,0
A,3,02:36:07.6,TeamNL,2281,ffffff,ffa500,ffa500,Karsten Neus ,nl,772538,,0
A,3,02:36:36.5,Blarney CC,4612,f5eeee,e61313,241818,Colm Sheahan,ie,1184344,,0
A,3,02:36:49.5,Race3R,791,000000,2bc3f4,ffffff,Penn Henderson,us,137175,,0
A,2,02:36:51.1,ZHR,1979,ff0000,03228c,03228c,Rick Sorenson,us,197869,,0
A,3,02:37:12.6,BRT,4,ffffff,050505,ff8100,David Billings,gb,181148,,0
A,3,02:38:13.6,RuhrRiders,41,ff8700,000000,5cb0fc,Thomas Jendrusch &#128304; [R2],de,28466,,0
A,3,02:38:16.7,BRT,4,ffffff,050505,ff8100,Aaron Barry&#9889;&#65039;  (The BRaT Pack),gb,743592,,0
A,2,02:38:18.7,KirchmairCycling,2991,210606,f2e80d,000103,Klaus N&auml;her (KC),de,518275,,0
A,2,02:39:08.1,eLatino,4523,fe2ec8,fafafa,fe2ec8,Gast&oacute;n Puch,uy,371820,,0
A,2,02:39:55.8,Team GIANT,3549,000000,f70000,000000,Maik Abraham &#128304;,de,141795,,0
A,2,02:40:49.7,BRT,4,ffffff,050505,ff8100,Lexie Lightning&#9889;&#65039;&#128304;(The BRaT Pack),nl,496345,,0
A,2,02:41:16.9,BRT,4,ffffff,050505,ff8100,Grahame Mckenzie[BRT]&#128304;,gb,77990,,0
A,3,02:41:20.4,BRT,4,ffffff,050505,ff8100,John Bergenske &#128304;&#9889;&#65039;(The BRat Pack),us,180408,,0
A,3,02:42:34.0,BadAss,4291,ffffff,0073b7,ffffff,Kim Villarino Hejnesen [BadAss],dk,1096870,,0
A,3,02:43:10.5,RuhrRiders,41,ff8700,000000,5cb0fc,Tobias M&uuml;ller (R2),de,119944,,0
A,2,02:46:53.6,BRT,4,ffffff,050505,ff8100,Rhys  Richards (BRT Draft Beers),gb-wls,1056206,,0
A,3,02:50:35.1,BMPRO,3343,120303,ffff00,2b0a0a,Matthias Bl&uuml;mel [BMPRO],de,855399,,0
A,2,03:08:03.0,BRT,4,ffffff,050505,ff8100,Phil Donnelly  (BRT Craft Beers),gb,514370,,0
B,2,02:42:46.0,BRT,4,ffffff,050505,ff8100,Paul Skipper &#128304;(BRT Draft Beers),gb,12026,,0
B,2,02:45:00.8,Blarney CC,4612,f5eeee,e61313,241818,Michael Considine,ie,787676,,0
B,2,02:45:50.4,,0,00dd00,,,Kevin Hanafin6593,ie,919164,,0
B,2,02:48:32.4,,0,00dd00,,,Ken Allen,nz,1306789,,0
B,2,02:54:14.1,BRT,4,ffffff,050505,ff8100,Ricardo Alarcon (BRT Craft Beers),gb,421155,,0
B,2,02:54:15.3,RuhrRiders,41,ff8700,000000,5cb0fc,Jens Reichardt (R2),de,174941,,0
B,3,02:57:45.6,BRT,4,ffffff,050505,ff8100,Darren Green ,gb-eng,30856,,0
B,2,03:00:06.4,BRT,4,ffffff,050505,ff8100,David Claydon (BRT Tequilla Chasers),gb,850893,,0
B,2,03:06:24.1,ZRG,1942,1bc1f1,3d3d3d,1bc1f1,Fabian Kelling (ProjektHawaii),de,454172,,0
B,3,03:07:13.8,BRT,4,ffffff,050505,ff8100,Edu Harms &#128304; (BRT),nl,885157,,0
B,3,03:07:50.7,RuhrRiders,41,ff8700,000000,5cb0fc,Andre Schmidt ,de,126837,,0
B,2,03:08:42.8,BRT,4,ffffff,050505,ff8100,lee saunders (BRT Craft Beers),gb,177623,,0
B,2,03:09:50.7,KirchmairCycling,2991,210606,f2e80d,000103,Chris Schmidt (KC),de,794847,,0
B,2,03:09:50.7,,0,00dd00,,,Egor Nikitin,ru,448025,,0
B,2,03:13:24.6,BRT,4,ffffff,050505,ff8100,Francisco Arce (BRT Trappist Beers),za,652272,,0
C,3,03:01:07.0,BRT,4,ffffff,050505,ff8100,Matt Cope (BRT Chasers),gb,292632,,0
