category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,4,48,BRT,4,ffffff,050505,ff8100,Hywel Davies &#128304; ,gb-wls,1119043,,0
A,3,45,Team GIANT,3549,000000,f70000,000000,Maik Abraham &#128304;,de,141795,,0
A,4,44,BMPRO,3343,120303,ffff00,2b0a0a,Matthias Bl&uuml;mel [BMPRO],de,855399,,0
A,4,43,BadAss,4291,ffffff,0073b7,ffffff,Kim Villarino Hejnesen [BadAss],dk,1096870,,0
A,4,39,BRT,4,ffffff,050505,ff8100,Christian Moxon &#128304; [BRT],gb,35037,,0
A,4,29,BRT,4,ffffff,050505,ff8100,Keith Robertson [BRT] &#9889;,gb,894741,,0
A,4,21,Race3R,791,000000,2bc3f4,ffffff,Penn Henderson,us,137175,,0
A,1,15,Rowe & King,2298,ffffff,2b5bb8,2fba4e,Hefin Evans ,gb-wls,1123557,,0
A,1,15,Team CLS,1426,3d9970,ffffff,ffffff,Russell Batchelor,gb,79102,,0
A,1,14,BRT,4,ffffff,050505,ff8100,Bas Seldenrijk &#128304; (The BRaT Pack),nl,274131,,0
A,1,12,WeTri Racing,4143,394bb2,b4f0ff,ff92e0,Charlie Velez - WeTri Triathlon Elite Racing ,us,683717,,0
A,3,12,ZHR,1979,ff0000,03228c,03228c,Rick Sorenson,us,197869,,0
A,2,8,KirchmairCycling,2991,210606,f2e80d,000103,Klaus N&auml;her (KC),de,518275,,0
A,4,8,RuhrRiders,41,ff8700,000000,5cb0fc,Tobias M&uuml;ller (R2),de,119944,,0
A,4,7,TeamNL,2281,ffffff,ffa500,ffa500,Karsten Neus ,nl,772538,,0
A,2,7,BRT,4,ffffff,050505,ff8100,Will Budge &#9889;&#65039;&#128304; [BRT],gb,198214,,0
A,3,7,Blarney CC,4612,f5eeee,e61313,241818,Colm Sheahan,ie,1184344,,0
A,3,7,BRT,4,ffffff,050505,ff8100,Rhys  Richards (BRT Draft Beers),gb-wls,1056206,,0
A,2,6,BRT,4,ffffff,050505,ff8100,Vicky Nealon (The BRaT pack),gb,1019855,,0
